row_number,question
0,Have you heard of 'Kegology'?
1,Have you heard the word 'Philosophy'?
2,Do you believe listening is important?
3,Did you read that the keg_definition of 'dive' is 'To go from living on land to swimming with fearlessness. Not used in codebase.'.
4,Did you read that the keg_definition of 'swim' is 'To live with faith. To be slave to many masters instead of a slave to one. To live in many moments. Not used in codebase.'.
5,Did you read that the keg_definition of 'pitch' is 'Definition needed.'.
6,Did you read that the keg_definition of 'bk' is 'Brick Format Identifier. Every brick_type format starts with 'bk' and then 5 numbers.'.
7,Did you read that the keg_definition of 'SparkInt' is 'int first used in ch11. Each Spark is a int that describes the order of data ingestion'.
8,Did you read that the keg_definition of 'meaning' is 'A term specifically used to describe how defining Ropes creates meaning. Ropes with the same start and end points can have different meaning based on the Labels in between.'.
9,Did you read that the keg_definition of 'RopeTerm' is 'str first used in ch04. A string representation of a tree path. LabelTerms are seperated by knots.'.
10,Have you heard of Excel spreadsheet application?
11,Did you read that the keg_definition of 'ch98' is 'Defines Tools that create documentation.'.
12,Did you read that the keg_definition of 'ch36' is 'ETL app to create day punches from excel files.'.
13,Did you read that the keg_definition of 'ch35' is 'Tools for Visualizing PersonUnits'.
14,Did you read that the keg_definition of 'ch34' is 'Defines Finance Tools for '.
15,"Did you read that the keg_definition of 'ch33' is 'Defines Pitch Tools for gifts, World Scenarios.'."
16,Did you read that the keg_definition of 'ch32' is 'Defines WorldDirs that admin MomentUnits input data and outcomes'.
17,Did you read that the keg_definition of 'ch31' is 'Defines the analytics outcomes of completed MomentUnits.'.
18,Did you read that the keg_definition of 'ch30' is 'Defines how ideas for outside audiences are created.'.
19,"Did you read that the keg_definition of 'ch27' is 'Defines the lego stage of data. Source of Job Persons, complete Moment data.'."
20,Did you read that the keg_definition of 'ch22' is 'Defines the 'Heard' process. From 'Sound' to 'lego'.'.
21,Did you read that the keg_definition of 'ch21' is 'Defines the 'Sound' process. From 'Bricks' to 'Heard'.'.
22,Did you read that the keg_definition of 'ch20' is 'Defines the 'Etl Bricks' process. From 'Source Ideas' to 'Sound'.'.
23,Did you read that the keg_definition of 'ch19' is 'Defines the 'Idea Src' process. Data going to 'Bricks'.'.
24,Did you read that the keg_definition of 'ch18' is 'Defines the tools that use Bricks to build MomentUnits.'.
25,Did you read that the keg_definition of 'ch17' is 'Defines how to build Bricks using Bricks. Moments and Persons are built by Bricks.'.
26,Did you read that the keg_definition of 'ch16' is 'Defines TranslateUnit tools that translate MomentUnits into inside language.'.
27,Did you read that the keg_definition of 'ch15' is 'Defines NabuUnit tools that interpret numeric values into inside accounting.'.
28,"Did you read that the keg_definition of 'ch14' is 'Defines MomentUnits: common time tech, ledger, ContactNames, history of PersonUnits.'."
29,Did you read that the keg_definition of 'ch13' is 'Defines how time is handled by PersonUnits. Allows for arbitrary time structures.'.
30,Did you read that the keg_definition of 'ch12' is 'Builds a simulation that describes how much credit a healer has earned.'.
31,"Did you read that the keg_definition of 'ch11' is 'Defines PersonBudHistory: PersonName, BudUnits (TimeNum, quota, celldepth)'."
32,Did you read that the keg_definition of 'ch10' is 'These tools describe how one PersonUnit listens to another.'.
33,Did you read that the keg_definition of 'ch09' is 'Defines lessons which are collections of PersonAtoms by FaceName'.
34,Did you read that the keg_definition of 'ch08' is 'Defines PersonAtoms: Irreducible units of change for a PersonUnit.'.
35,Did you read that the keg_definition of 'ch07' is 'Defines a PersonUnit as a PlanUnit and ContactUnits capable of producing an agenda.'.
36,"Did you read that the keg_definition of 'ch06' is 'Defines PlanUnits with sub-plans, Awardees, Workforce, Reasons, Facts, etc.'."
37,"Did you read that the keg_definition of 'ch05' is 'Defines ReasonUnits, FactUnits, and Facts decide if a Reason is Active'."
38,"Did you read that the keg_definition of 'ch04' is 'Defines Term Classes: Knots, Labels, RopeTerms, FirstLabels'."
39,"Did you read that the keg_definition of 'ch03' is 'Defines Workforce, LaborUnit. How tasks are assigned to labor.'."
40,"Did you read that the keg_definition of 'ch02' is 'Defines Contacts, Groups, Memberships, Awardees debt and cred.'."
41,Did you read that the keg_definition of 'ch01' is 'Defines how to allot a pool number to a weighted ledger.'.
42,Did you read that the keg_definition of 'ch00' is 'Creates helper tools for OS and python data manipulation.'.
